show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
ns5303,3.5,movie,little evil,eli craig,"adam scott, evangeline lilly, bridget everett, owen atlas, chris d'elia, donald faison, clancy brown, tyler labine, kyle bornheimer, carla gallo, brad williams, sally field",united states,2017,tv-ma,95,min,"comedies, horror movies"
ns5304,3.5,movie,manoranjan,shammi kapoor,"sanjeev kumar, zeenat aman, shammi kapoor, dev kumar, madan puri, paintal, asit kumar sen, agha, murad, shefali",india,1974,tv-14,162,min,"comedies, international movies, music & musicals"
ns5305,3.5,movie,mujrim,umesh mehra,"mithun chakraborty, madhuri dixit, suresh oberoi, shakti kapoor, pallavi joshi, gulshan grover, amrish puri, nutan, jagdeep, sharat saxena",india,1989,tv-14,163,min,"action & adventure, dramas, international movies"
ns5306,3.5,tv show,narcos,,"wagner moura, pedro pascal, boyd holbrook, damián alcázar, alberto ammann, francisco denis, pêpê rapazote, matias varela, michael stahl-david, matt whelan, arturo castro, javier cámara, josé maría yazpik, eric lange, brett cullen, miguel ángel silvestre, kerry bishé, paulina gaitán, cristina umaña, paulina garcía, juan sebastián calero, joanna christie, taliana vargas, andrea londo, manolo cardona, diego cataño, raúl méndez, bruno bichir, stephanie sigman, florencia lozano, juan pablo raba, leynar gomez, konstantin melikhov, martina garcía, maurice compte, mauricio cujar, jorge monterrosa, germán jaramillo, juan pablo shuk, julián díaz, alejandro buitrago, federico rivera","united states, colombia, mexico",2017,tv-ma,3,season,"crime tv shows, tv action & adventure, tv dramas"
ns5307,3.6,movie,offline - das leben ist kein bonuslevel,florian schnell,"moritz jahn, mala emde, ugur ekeroglu, david schütter, hannes wegener, yung ngo, kida khodr ramadan",germany,2016,tv-ma,89,min,"action & adventure, comedies, international movies"
ns5308,3.5,movie,resurface,"josh izenberg, wynn padula",,united states,2017,tv-ma,28,min,"documentaries, sports movies"
ns5309,3.5,movie,rocco,"thierry demaizière, alban teurlai",rocco siffredi,france,2016,tv-ma,103,min,"documentaries, international movies"
ns531,3.6,tv show,richie rich,,"jake brennan, joshua carlon, lauren taylor, jenna ortega, kiff vandenheuvel, brooke wexler",united states,2015,tv-g,2,season,"kids' tv, tv comedies"
ns5310,3.5,movie,sohni mahiwal,"latif faiziyev, umesh mehra","zeenat aman, pran, tanuja, poonam dhillon","india, soviet union",1984,tv-14,160,min,"dramas, international movies, romantic movies"
ns5311,3.5,movie,the distinguished citizen,"gastón duprat, mariano cohn","oscar martínez, dady brieva, andrea frigerio, nora navas, manuel vicente, belén chavanne, marcelo d'andrea, gustavo garzón","argentina, spain",2016,tv-ma,113,min,"comedies, dramas, international movies"
